Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
18-Aug-16,673.3,672.890992,23457,1707,28.05,0.03489087,3.489086997,0.032274209,,
19-Aug-16,683.2,687.1650401,160355,7287,30.04,0.014703698,1.47036982,0.032278666,,
22-Aug-16,678.45,679.9196219,15763,1097,45.58,-0.006952576,-0.695257611,0.03229624,,
23-Aug-16,677.55,674.7781028,11965,1041,33.35,-0.001326553,-0.132655317,0.032298239,,
24-Aug-16,684.85,683.8215546,14447,938,62.97,0.010774113,1.077411261,0.032290836,,
25-Aug-16,675.45,681.9784562,9237,748,51.92,-0.013725633,-1.372563335,0.032345355,,
26-Aug-16,666.85,669.1579746,9223,594,41.79,-0.012732253,-1.273225257,0.032378704,,
29-Aug-16,673,669.2792309,8946,520,64.99,0.009222464,0.922246382,0.032380488,,
30-Aug-16,679.6,677.9602756,4934,447,58.82,0.009806835,0.980683507,0.032386189,,
31-Aug-16,680.1,683.6543699,6316,480,58.71,0.000735727,0.07357269,0.032376275,,
01-Sep-16,672.7,677.8670499,5566,444,42.89,-0.010880753,-1.088075283,0.032395432,,
02-Sep-16,680.15,678.7489819,2701,235,52.31,0.011074773,1.10747733,0.032388655,,
06-Sep-16,689.7,687.569782,13621,843,61.33,0.01404102,1.404102036,0.032270099,,
07-Sep-16,709.5,708.3741946,36318,2055,38.1,0.028708134,2.870813397,0.032322725,,
08-Sep-16,712,714.1102614,14384,769,65.91,0.003523608,0.352360817,0.032250458,,
09-Sep-16,702.95,704.5128329,6234,460,45.27,-0.012710674,-1.271067416,0.032291915,,
12-Sep-16,671.9,678.9028756,5251,527,52.39,-0.044170994,-4.417099367,0.032395057,,
14-Sep-16,685.8,682.3810803,3351,315,35.39,0.020687602,2.068760232,0.03244081,,
15-Sep-16,679.7,680.6639762,2354,306,24.85,-0.008894721,-0.889472149,0.032470591,,
16-Sep-16,674.15,685.3008449,3314,397,48.37,-0.008165367,-0.816536707,0.03248011,,
19-Sep-16,681.9,681.7554995,4364,359,47.18,0.011495958,1.149595787,0.032489298,,
20-Sep-16,678.9,679.9991942,2482,250,43.07,-0.004399472,-0.439947206,0.032499405,,
21-Sep-16,671.7,675.8891154,2453,341,35.14,-0.010605391,-1.060539107,0.032528009,,
22-Sep-16,683.1,681.9004149,4338,467,46.86,0.016971862,1.697186244,0.032553139,,
23-Sep-16,680.6,682.0306811,2966,231,60.92,-0.003659786,-0.365978627,0.032308108,,
26-Sep-16,676.55,695.9121186,58010,3056,13.53,-0.005950632,-0.59506318,0.032134737,,
27-Sep-16,668.6,676.0269834,6189,420,27.03,-0.011750794,-1.175079447,0.032092038,,
28-Sep-16,677.95,677.2049805,6425,493,31.81,0.013984445,1.398444511,0.03202317,,
29-Sep-16,656.85,659.3581573,19645,1049,26.33,-0.031123239,-3.112323918,0.03217075,,
30-Sep-16,670.7,665.8185496,6674,574,26.67,0.021085484,2.108548375,0.032180455,,
03-Oct-16,682.15,681.7503723,8729,424,65.48,0.017071716,1.707171612,0.03219758,,
04-Oct-16,694.4,689.5279393,10147,571,48.5,0.017957927,1.795792714,0.032205564,,
05-Oct-16,696.45,701.4558616,10637,564,39.6,0.002952189,0.295218894,0.032204898,,
06-Oct-16,689.25,695.5404677,9279,274,68.95,-0.010338143,-1.033814344,0.032201444,,
07-Oct-16,691.05,693.2681091,4252,273,19.76,0.002611534,0.261153428,0.032090941,,
10-Oct-16,692.2,691.7296248,1546,78,58.02,0.001664134,0.166413429,0.032079331,,
13-Oct-16,672.5,674.7569787,4263,297,26.13,-0.028459983,-2.845998266,0.032270074,,
14-Oct-16,682.3,680.7670928,1799,158,44.3,0.014572491,1.457249071,0.032287979,,
17-Oct-16,685.2,685.4219447,1121,95,51.47,0.00425033,0.425032977,0.032287943,,
18-Oct-16,693.3,690.1902158,3475,219,76.14,0.011821366,1.182136602,0.032243951,,
19-Oct-16,690.15,691.580036,1112,72,75,-0.004543488,-0.454348767,0.032255785,,
20-Oct-16,699.75,700.6855598,5734,505,45.29,0.01391002,1.391001956,0.032249588,,
21-Oct-16,704.05,700.2997515,39843,2303,8.74,0.006145052,0.61450518,0.03224216,,
24-Oct-16,710.3,709.69867,12030,616,47.87,0.00887721,0.887721043,0.032241389,,
25-Oct-16,706.55,709.0610058,2426,152,51.28,-0.005279459,-0.527945938,0.032252373,,
26-Oct-16,700,705.0971541,4076,243,60.77,-0.009270398,-0.927039841,0.02454044,,
27-Oct-16,690.7,691.2585778,2011,123,46.39,-0.013285714,-1.328571429,0.018075196,,
28-Oct-16,695.6,696.5154639,776,65,50.39,0.007094252,0.709425221,0.01809035,,
30-Oct-16,698,695.5638298,94,8,77.66,0.003450259,0.345025877,0.017160153,,
01-Nov-16,702.05,700.4601199,2169,209,31.26,0.005802292,0.580229226,0.01712256,,
02-Nov-16,682,684.1275146,6164,400,51.17,-0.028559219,-2.855921943,0.016431789,,
03-Nov-16,668.65,672.9043584,5782,178,81.27,-0.01957478,-1.957478006,0.016578541,,
04-Nov-16,663.65,664.5979522,1465,179,32.35,-0.007477754,-0.747775368,0.016348874,,
07-Nov-16,687.9,683.0427907,2150,121,47.86,0.036540345,3.654034506,0.016750873,,
08-Nov-16,686.85,684.7007576,2376,269,18.73,-0.001526385,-0.152638465,0.016565067,,
09-Nov-16,703.75,679.7931326,13018,1047,54.78,0.024605081,2.460508117,0.01674539,,
10-Nov-16,760.9,752.1621502,34024,2217,46.49,0.081207815,8.120781528,0.018774855,,
11-Nov-16,736.05,751.8347601,13550,878,35.81,-0.032658694,-3.265869365,0.019108275,,
15-Nov-16,749.35,752.6581088,9465,788,41.79,0.018069425,1.806942463,0.019173676,,
16-Nov-16,750.7,754.8265567,5091,247,57.24,0.001801561,0.180156135,0.019169431,,
17-Nov-16,752.2,757.4312144,4216,278,35.77,0.001998135,0.199813507,0.019102695,,
18-Nov-16,743.85,747.031302,3003,190,45.19,-0.011100771,-1.110077107,0.018802757,,
21-Nov-16,700.6,721.0103681,7716,454,46.46,-0.058143443,-5.81434429,0.019811571,,
22-Nov-16,703.55,697.0115674,3458,285,27.99,0.004210677,0.421067656,0.019815024,,
23-Nov-16,703.4,702.7195122,3772,179,31.95,-0.000213204,-0.021320446,0.019709652,,
